,1. open,2. high,3. low,4. close,5. volume,interval
2018-08-27 12:00:00,368.0000,368.8100,366.5200,368.1061,750911,30
2018-08-27 11:30:00,370.7000,370.8500,367.0700,368.0900,1342429,30
2018-08-27 11:00:00,372.5898,373.3400,370.5600,370.8536,808352,30
2018-08-27 10:30:00,371.1000,372.8700,370.4365,372.4124,1341723,30
2018-08-27 10:00:00,372.1200,374.4248,370.3101,371.1900,2419444,30
2018-08-27 09:30:00,367.1160,372.8600,364.3200,372.1291,4116565,30
2018-08-24 15:30:00,357.9800,359.1300,357.0501,358.8400,1800792,30
2018-08-24 15:00:00,357.4000,358.1000,356.7510,357.9300,610413,30
2018-08-24 14:30:00,358.3673,358.5400,357.0800,357.3507,646814,30
2018-08-24 14:00:00,356.8800,358.9700,356.6316,358.3601,1076739,30
2018-08-24 13:30:00,355.3251,357.2700,355.2000,356.8935,718453,30
2018-08-24 13:00:00,356.2092,356.8100,354.7100,355.4778,907084,30
2018-08-24 12:30:00,354.1900,356.4111,353.7000,356.2861,1003701,30
2018-08-24 12:00:00,353.0826,354.2529,353.0777,354.2250,741462,30
2018-08-24 11:30:00,351.3450,353.2800,350.9000,353.0600,699483,30
2018-08-24 11:00:00,352.0930,352.7500,350.3000,351.1900,815234,30
2018-08-24 10:30:00,349.5000,352.0800,349.4000,352.0283,1267592,30
2018-08-24 10:00:00,348.2000,350.3411,348.2000,349.3570,1353317,30
2018-08-24 09:30:00,345.9900,349.6500,344.5500,347.9498,2394400,30
2018-08-23 15:30:00,339.9361,339.9550,338.3500,339.1700,887169,30
2018-08-23 15:00:00,340.4200,341.2300,339.7000,339.9000,535289,30
2018-08-23 14:30:00,339.6100,340.4200,339.4400,340.3700,335345,30
2018-08-23 14:00:00,339.3055,339.9200,338.9900,339.6000,400176,30
2018-08-23 13:30:00,340.5946,340.8500,339.2200,339.2500,285438,30
2018-08-23 13:00:00,339.9102,340.5000,339.4300,340.4500,254374,30
2018-08-23 12:30:00,341.9000,341.9900,339.6000,339.8116,419090,30
2018-08-23 12:00:00,340.5050,341.9000,339.1400,341.8400,550223,30
2018-08-23 11:30:00,340.8200,341.2000,337.7630,340.1700,895029,30
2018-08-23 11:00:00,343.8717,344.4000,338.9500,340.8200,1323425,30
2018-08-23 10:30:00,347.0390,347.2000,342.8600,344.1000,968788,30
2018-08-23 10:00:00,348.8639,348.9240,345.3600,346.8900,1309835,30
2018-08-23 09:30:00,348.0000,350.0000,345.8600,348.7100,2002400,30
2018-08-22 15:30:00,344.6600,345.1200,344.2710,344.4600,748666,30
2018-08-22 15:00:00,343.8900,344.8700,343.8300,344.6050,349484,30
2018-08-22 14:30:00,344.3804,344.8800,343.5000,343.8600,315688,30
2018-08-22 14:00:00,344.5800,345.6885,343.8700,344.2624,534631,30
2018-08-22 13:30:00,344.2800,345.0000,344.1286,344.6700,291504,30
2018-08-22 13:00:00,344.4800,344.6007,343.5543,344.1103,204231,30
2018-08-22 12:30:00,343.4800,344.8100,343.4800,344.5200,408751,30
2018-08-22 12:00:00,343.8800,344.1100,342.7700,343.4476,302594,30
2018-08-22 11:30:00,343.3900,344.1500,342.5600,343.9800,352928,30
